grantor|grantee|table_catalog|table_schema|table_name|column_name|privilege_type|is_grantable
postgres|postgres|demo|bookings|seats|seat_no|REFERENCES|YES
postgres|postgres|demo|bookings|airports_data|coordinates|UPDATE|YES
postgres|postgres|demo|bookings|ticket_flights|ticket_no|UPDATE|YES
postgres|postgres|demo|bookings|ticket_flights|flight_id|INSERT|YES
postgres|postgres|demo|bookings|routes|departure_airport_name|UPDATE|YES
postgres|postgres|demo|bookings|flights|flight_no|INSERT|YES
postgres|postgres|demo|bookings|seats|aircraft_code|REFERENCES|YES
postgres|postgres|demo|bookings|boarding_passes|ticket_no|REFERENCES|YES
postgres|postgres|demo|bookings|airports_data|timezone|REFERENCES|YES
postgres|postgres|demo|bookings|ticket_flights|ticket_no|REFERENCES|YES
postgres|postgres|demo|bookings|flights|departure_airport|SELECT|YES
postgres|postgres|demo|bookings|aircrafts_data|range|SELECT|YES
postgres|postgres|demo|bookings|boarding_passes|seat_no|INSERT|YES
postgres|postgres|demo|bookings|aircrafts|model|SELECT|YES
postgres|postgres|demo|bookings|routes|flight_no|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|departure_airport|UPDATE|YES
postgres|postgres|demo|bookings|flights|departure_airport|UPDATE|YES
postgres|postgres|demo|bookings|seats|seat_no|SELECT|YES
postgres|postgres|demo|bookings|flights_v|actual_departure_local|INSERT|YES
postgres|postgres|demo|bookings|flights_v|actual_arrival|REFERENCES|YES
postgres|postgres|demo|bookings|aircrafts|aircraft_code|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|arrival_airport|UPDATE|YES
postgres|postgres|demo|bookings|bookings|total_amount|INSERT|YES
postgres|postgres|demo|bookings|aircrafts|range|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|scheduled_departure_local|INSERT|YES
postgres|postgres|demo|bookings|flights_v|departure_airport|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|arrival_airport_name|REFERENCES|YES
postgres|postgres|demo|bookings|ticket_flights|amount|INSERT|YES
postgres|postgres|demo|bookings|routes|departure_city|SELECT|YES
postgres|postgres|demo|bookings|airports_data|airport_code|INSERT|YES
postgres|postgres|demo|bookings|flights_v|status|SELECT|YES
postgres|postgres|demo|bookings|routes|departure_city|UPDATE|YES
